month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2023-12,sodium_hydroxide,USA,$/tonne,$,tonne,1171.9360000000001,1349.4849999999997,2521.421,0.46479187727872506,1315576.0,1077589.0,2393165.0,949.1334449899482,balanced,94.91334449899483,15.0,1059.046789488943,2023,12
2023-12,sodium_sulfate,CAN,$/tonne,$,tonne,8561.080829999999,13346.488000000001,21907.56883,0.39078187527027386,10217556.993999999,3768082.9639999997,13985639.957999999,638.3930625313479,balanced,63.839306253134794,15.0,717.2323687844828,2023,12
2023-12,sodium_sulfate,CHN,$/tonne,$,tonne,17246.706329999997,512357.76148600003,529604.467816,0.032565258373145,67886891.0,76462901.99999997,144349792.99999997,272.561509149034,export,27.2561509149034,15.0,314.8176600639374,2023,12
2023-12,sodium_sulfate,DEU,$/tonne,$,tonne,37690.355337,58735.794716000004,96426.150053,0.39087275927000864,7961919.272999999,17713242.080999997,25675161.353999995,266.2676186894096,balanced,26.62676186894096,15.0,307.8943805583505,2023,12
2023-12,sodium_sulfate,FRA,$/tonne,$,tonne,17202.571038000002,17830.857918,35033.428956,0.4910330376054669,7996224.636000001,3980574.7579999994,11976799.394000001,341.86774606168814,balanced,34.18677460616882,15.0,391.05452066785693,2023,12
2023-12,sodium_sulfate,GBR,$/tonne,$,tonne,38279.85399999999,328.524077,38608.378076999994,0.9914908604462793,6534617.157,428084.024,6962701.181,180.34171668941102,import,18.034171668941102,15.0,213.3758883583521,2023,12
2023-12,sodium_sulfate,IND,$/tonne,$,tonne,7061.634429,37303.68627800001,44365.320707000006,0.1591701427255953,4354585.765000001,12251624.454,16606210.219,374.3061011250586,balanced,37.43061011250586,15.0,426.73671123756446,2023,12
2023-12,sodium_sulfate,SWE,$/tonne,$,tonne,10309.704052000001,6167.731224,16477.435276,0.6256862114346442,9287559.151999999,1201935.4459999998,10489494.598,636.5975300342002,balanced,63.65975300342002,15.0,715.2572830376203,2023,12
2023-12,sodium_sulfate,TUR,$/tonne,$,tonne,2369.41,20171.411,22540.821,0.10511640192697506,2289234.0,11291866.0,13581100.0,602.5113282253561,balanced,60.25113282253562,15.0,677.7624610478917,2023,12
2023-12,sodium_sulfate,USA,$/tonne,$,tonne,35231.57852,16640.597053,51872.175573,0.6791999396751426,28939074.0,14796545.0,43735619.0,843.1421762607705,balanced,84.31421762607705,15.0,942.4563938868475,2023,12
2023-12,sulfuric acid,CAN,$/tonne,$,tonne,8558.697019,144236.122,152794.819019,0.05601431432001453,1662036.881,19262782.781,20924819.662,136.9471805153158,export,13.69471805153158,15.0,165.64189856684737,2023,12
2023-12,sulfuric acid,CHN,$/tonne,$,tonne,11191.149,265119.607,276310.756,0.04050203894342788,380163.9999999991,11566755.999999989,11946919.999999989,43.23726000735197,export,4.323726000735197,15.0,62.56098600808717,2023,12
2023-12,sulfuric acid,DEU,$/tonne,$,tonne,22697.916282,83466.3777,106164.293982,0.21379990796009435,3538961.8749999986,7415368.867999994,10954330.742999993,103.18281535275206,balanced,10.318281535275206,15.0,128.50109688802726,2023,12
