date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,FRA,NOR,0.13635962499999998,24000.0,3272.631,24000.0,kg,8,4,24000.0,kg,8,3272.631,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,24000.0,0,World,W00,579,Norway,NOR,202401,3272.631,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-01-01,FRA,SVN,4.473223300970874,1236.0,5528.904,1236.0,kg,8,4,1236.0,kg,8,5528.904,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1236.0,0,World,W00,705,Slovenia,SVN,202401,5528.904,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-01-01,FRA,SWE,0.0871387987012987,11088.0,966.195,11088.0,kg,8,4,11088.0,kg,8,966.195,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,11088.0,0,World,W00,752,Sweden,SWE,202401,966.195,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,SWE,0.842290782457286,9189.0,7739.81,9189.0,kg,8,4,9189.0,kg,8,7739.81,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9189.0,0,World,W00,752,Sweden,SWE,202402,7739.81,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,GBR,4.919150547841398,45336.844,223018.761,45336.844,kg,8,4,0.0,N/A,-1,223018.761,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,45336.844,0,World,W00,826,United Kingdom,GBR,202401,223018.761,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,GBR,1.7739941601888582,78933.717,140027.953,78933.717,kg,8,4,0.0,N/A,-1,140027.953,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,78933.717,0,World,W00,826,United Kingdom,GBR,202402,140027.953,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,PRT,5.628889011627908,17200.0,96816.891,17200.0,kg,8,4,17200.0,kg,8,96816.891,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,17200.0,0,World,W00,620,Portugal,PRT,202401,96816.891,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,PRT,22.669,1.0,22.669,1.0,kg,8,4,1.0,kg,8,22.669,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1.0,0,World,W00,620,Portugal,PRT,202402,22.669,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,TUR,0.7427024551724138,435000.0,323075.568,435000.0,kg,8,4,435000.0,kg,8,323075.568,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,435000.0,0,World,W00,792,Türkiye,TUR,202401,323075.568,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,TUR,0.44038219948486496,423190.0,186365.343,423190.0,kg,8,4,423190.0,kg,8,186365.343,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,423190.0,0,World,W00,792,Türkiye,TUR,202402,186365.343,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,AUT,0.5339768929705809,420305.0,224433.158,420305.0,kg,8,4,420305.0,kg,8,224433.158,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,420305.0,0,World,W00,40,Austria,AUT,202401,224433.158,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,AUT,0.8190363183413055,276169.0,226192.441,276169.0,kg,8,4,276169.0,kg,8,226192.441,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,276169.0,0,World,W00,40,Austria,AUT,202402,226192.441,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,NLD,0.4612972261123726,1861539.0,858722.777,1861539.0,kg,8,4,1861539.0,kg,8,858722.777,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1861539.0,0,World,W00,528,Netherlands,NLD,202401,858722.777,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,NLD,0.25259762096761307,1877486.0,474248.497,1877486.0,kg,8,4,1877486.0,kg,8,474248.497,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1877486.0,0,World,W00,528,Netherlands,NLD,202402,474248.497,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-02-01,FRA,PAN,6.37008242787561,10.676,68.007,10.676,kg,8,4,0.0,N/A,-1,68.007,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,10.676,0,World,W00,591,Panama,PAN,202402,68.007,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,DEU,0.6313421393048289,3769374.0,2379764.645,3769374.0,kg,8,4,3769374.0,kg,8,2379764.645,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,3769374.0,0,World,W00,276,Germany,DEU,202401,2379764.645,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,DEU,0.5183172674436767,4833657.0,2505367.888,4833657.0,kg,8,4,4833657.0,kg,8,2505367.888,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,4833657.0,0,World,W00,276,Germany,DEU,202402,2505367.888,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,CZE,1.234330649544529,137989.0,170324.052,137989.0,kg,8,4,137989.0,kg,8,170324.052,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,137989.0,0,World,W00,203,Czechia,CZE,202401,170324.052,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,CZE,0.9724636772838342,116635.0,113423.301,116635.0,kg,8,4,116635.0,kg,8,113423.301,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,116635.0,0,World,W00,203,Czechia,CZE,202402,113423.301,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,ITA,0.6871669111204465,416575.0,286256.556,416575.0,kg,8,4,416575.0,kg,8,286256.556,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,416575.0,0,World,W00,380,Italy,ITA,202401,286256.556,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,ITA,0.8793058395087343,322921.0,283946.321,322921.0,kg,8,4,322921.0,kg,8,283946.321,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,322921.0,0,World,W00,380,Italy,ITA,202402,283946.321,kg,8,2,20240201,2024,251,France,FRA,C,import
