Year,Customer Size,country,value,units,exchange_country,exchange_rate,exchange_units,usd_per_kwh
2022,Very Large,Lithuania,19.380295158643428,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.1653378714266302
2023,Very Large,Lithuania,14.984210023794155,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.12059795446985522
2008,Small,Malta,12.209747408333335,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.06663061842534479
2009,Small,Malta,13.65412004819598,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.08756841869105687
2010,Small,Malta,17.20454983377754,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.11139373105861493
2011,Small,Malta,17.356400168963823,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.10827212277282455
2012,Small,Malta,16.297106211064236,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.10284561036165811
2013,Small,Malta,17.027739625594755,pence_per_kwh,USA,1.5625,pound_per_currency,0.10897753360380642
2014,Small,Malta,16.165669620954176,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.09812561459919185
2015,Small,Malta,12.126709399223785,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.07930867947092354
2016,Small,Malta,12.832648943615993,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.0950899286721945
2017,Small,Malta,13.21613329063701,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.10263178619163557
2018,Small,Malta,13.330959766774864,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.099948044331889
2019,Small,Malta,13.193120054245966,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.10338246293275621
2020,Small,Malta,13.372408291959651,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.11881724239080847
2021,Small,Malta,13.11437858573148,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.112751670872066
2022,Small,Malta,13.16320513347266,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.11229840929176037
2023,Small,Malta,13.282850128268645,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.10690483865716925
2008,Medium,Malta,8.968338900000001,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.0489417141215574
2009,Medium,Malta,9.314171006279677,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.05973488028221666
2010,Medium,Malta,13.25128114703594,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.08579763275043574
2011,Medium,Malta,13.668180158045356,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.08526439041197333
2012,Medium,Malta,12.851769513404358,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.08110323775984693
2013,Medium,Malta,13.333697222853889,pence_per_kwh,USA,1.5625,pound_per_currency,0.08533566222626489
2014,Medium,Malta,12.698558091512023,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.07708024761547799
2015,Medium,Malta,9.62772591015491,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.06296532745241311
2016,Medium,Malta,10.050820088845992,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.0744765768583488
2017,Medium,Malta,10.39706142892528,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.08073987770316504
2018,Medium,Malta,10.451430137026001,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.07835894946368395
2019,Medium,Malta,10.28847022521946,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.08062136835866973
2020,Medium,Malta,10.39275792263917,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.09234229244598205
2021,Medium,Malta,10.237620574396843,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.08801856816710926
2022,Medium,Malta,9.991709800580313,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.08524163418655514
2023,Medium,Malta,10.349532324630141,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.08329651186736374
2008,Large,Malta,7.662011758333334,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.04181287005917689
2009,Large,Malta,9.314171006279677,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.05973488028221666
2010,Large,Malta,11.711442447992589,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.07582768994041683
2011,Large,Malta,11.845758140304154,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.07389581752082675
2012,Large,Malta,11.189057995656043,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.07061041905427273
2013,Large,Malta,11.719944806980038,pence_per_kwh,USA,1.5625,pound_per_currency,0.07500764676467225
2014,Large,Malta,11.282303965230794,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.06848358506895091
2015,Large,Malta,8.701559301018465,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.05690819782866076
2016,Large,Malta,9.20933063033621,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.06824113997079131
2017,Large,Malta,8.759589205641138,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.06802385135725188
2018,Large,Malta,8.063789972751552,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.060457765365726446
2019,Large,Malta,9.327757244813235,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.07309313594075129
2020,Large,Malta,9.17678050688849,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.0815380244192671
2021,Large,Malta,9.197425361696945,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.07907542629436792
2022,Large,Malta,8.007752606423143,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.06831602718220561
2023,Large,Malta,8.90898299592023,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.07170248708531193
2008,Very Large,Malta,7.662011758333334,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.04181287005917689
2009,Very Large,Malta,9.314171006279677,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.05973488028221666
2010,Very Large,Malta,11.622059101794608,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.07524896253843918
2011,Very Large,Malta,12.106013992920555,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.07551933699217525
2012,Very Large,Malta,11.788626306472256,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.07439409500758636
2013,Very Large,Malta,11.889320761671637,pence_per_kwh,USA,1.5625,pound_per_currency,0.07609165287469848
2014,Very Large,Malta,10.571544785636927,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.06416927684881614
2015,Very Large,Malta,7.7250195654772025,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.050521627958220905
2016,Very Large,Malta,8.110997776779794,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.060102493525938265
2017,Very Large,Malta,8.345798399517633,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.06481049926642371
2018,Very Large,Malta,8.421306322029999,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.06313822202842795
2019,Very Large,Malta,8.507917385821854,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.06666879783994738
2020,Very Large,Malta,8.978950314568474,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.07978025293937288
2021,Very Large,Malta,8.311710288486132,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.07146043685600079
2022,Very Large,Malta,8.124532379239634,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.06931230298219275
2023,Very Large,Malta,8.412695652229216,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.06770819987341531
2008,Small,Poland,7.854074800000001,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.042860989960016804
2009,Small,Poland,9.209265084542672,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.0590620836724453
2010,Small,Poland,9.712755965074141,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.06288686052611869
2011,Small,Poland,9.76306223996294,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.0609036126842829
2012,Small,Poland,9.225439844246583,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.058218678785572055
2013,Small,Poland,9.444055307523993,pence_per_kwh,USA,1.5625,pound_per_currency,0.06044195396815355
2014,Small,Poland,8.553404589989956,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.051919165861239035
2015,Small,Poland,7.978840515882787,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.052181616973873426
2016,Small,Poland,8.357083667408892,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.06192598997549988
2017,Small,Poland,8.185128171800624,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.06356279147657448
2018,Small,Poland,8.049630786038659,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.060351607741216104
2019,Small,Poland,8.272079184848167,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.06482074870751768
2020,Small,Poland,9.11491561614362,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.08098833915999082
2021,Small,Poland,8.284490168116259,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.07122641020860924
2022,Small,Poland,11.678070807556413,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.09962837789029828
2023,Small,Poland,14.906306244684576,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.11997095869288946
2008,Medium,Poland,5.9947739,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.0327144763047674
2009,Medium,Poland,6.925048315100074,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.0444126408858257
2010,Medium,Poland,6.916025341088892,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.04477896104711199
2011,Medium,Poland,6.73872603800597,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.042037298392329586
2012,Medium,Poland,6.33875966409671,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.040001801433146196
2013,Medium,Poland,6.174452429875279,pence_per_kwh,USA,1.5625,pound_per_currency,0.039516495551201784
2014,Medium,Poland,5.324973380528936,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.032322588419810644
2015,Medium,Poland,5.169095261177903,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.033805883008103485
2016,Medium,Poland,5.465013055737666,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.0404957467430161
2017,Medium,Poland,4.986694165295431,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.03872489162456147
2018,Medium,Poland,4.891864735814172,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.036676452561153136
2019,Medium,Poland,5.656842778690692,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.04432752347282757
2020,Medium,Poland,6.24636702803323,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.0555005567454908
2021,Medium,Poland,5.281976140608002,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.04541211247385389
2022,Medium,Poland,8.525185241168746,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.07273036709474076
2023,Medium,Poland,11.612727752596188,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.09346313289486351
2008,Large,Poland,5.476076324999999,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.029883857534194945
2009,Large,Poland,6.523990167148183,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.041840521430646954
2010,Large,Poland,6.422194202167624,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.041581568868366045
2011,Large,Poland,6.33517921658712,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.03951990592799962
2012,Large,Poland,6.018436264555598,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.03798034712633428
2013,Large,Poland,5.6691348766821665,pence_per_kwh,USA,1.5625,pound_per_currency,0.036282463210765864
2014,Large,Poland,4.856719863494931,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.029480289571414228
2015,Large,Poland,4.690231285069985,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.030674112604357703
2016,Large,Poland,4.931894260415138,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.03654533646967617
2017,Large,Poland,4.510738273200775,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.03502878760685196
2018,Large,Poland,4.635670626983639,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.03475565311423096
2019,Large,Poland,5.368378829253933,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.042067094291749624
2020,Large,Poland,5.62496355957807,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.049979229178913336
2021,Large,Poland,4.812773098100152,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.04137811065858097
2022,Large,Poland,7.570972142714378,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.06458974997336055
